date.start,status.long,arena.city,teams.visitors.code,teams.home.code,scores.visitors.points,scores.home.points
2024-10-04T16:00:00.000Z,Finished,Abu Dhabi,BOS,DEN,107.0,103.0
2024-10-05T02:30:00.000Z,Finished,Palm Springs,MIN,LAL,124.0,107.0
2024-10-05T23:00:00.000Z,Finished,Honolulu,GSW,LAC,91.0,90.0
2024-10-06T14:00:00.000Z,Finished,Abu Dhabi,DEN,BOS,104.0,130.0
2024-10-06T23:00:00.000Z,Finished,Charlotte,NYK,CHA,111.0,109.0
2024-10-06T23:30:00.000Z,Finished,Montreal,WAS,TOR,98.0,125.0
2024-10-07T00:00:00.000Z,Finished,Detroit,MIL,DET,87.0,120.0
2024-10-07T01:30:00.000Z,Finished,Palm Springs,PHX,LAL,118.0,114.0
2024-10-07T17:30:00.000Z,Finished,New Orleans,ORL,NOP,104.0,106.0
2024-10-08T00:00:00.000Z,Finished,Dallas,MEM,DAL,121.0,116.0
2024-10-08T00:00:00.000Z,Finished,San Antonio,OKC,SAS,112.0,107.0
2024-10-08T01:00:00.000Z,Finished,Salt Lake City,HOU,UTA,113.0,122.0
2024-10-08T23:00:00.000Z,Finished,Charlotte,MIA,CHA,108.0,111.0
2024-10-08T23:00:00.000Z,Finished,Cleveland,CHI,CLE,116.0,112.0
2024-10-08T23:00:00.000Z,Finished,East Lansing,PHX,DET,105.0,97.0
2024-10-08T23:30:00.000Z,Finished,Atlanta,IND,ATL,130.0,131.0
2024-10-09T02:30:00.000Z,Finished,Oceanside,BKN,LAC,106.0,115.0
2024-10-09T23:30:00.000Z,Finished,New York,WAS,NYK,94.0,117.0
2024-10-10T00:00:00.000Z,Finished,Oklahoma City,HOU,OKC,122.0,113.0
2024-10-10T00:00:00.000Z,Finished,San Antonio,ORL,SAS,97.0,107.0
2024-10-10T02:30:00.000Z,Finished,Sacramento,GSW,SAC,122.0,112.0
2024-10-10T23:00:00.000Z,Finished,Cleveland,IND,CLE,129.0,117.0
2024-10-16T23:30:00.000Z,Finished,Miami,ATL,MIA,111.0,120.0
2024-10-11T00:00:00.000Z,Finished,Dallas,UTA,DAL,107.0,102.0
2024-10-11T00:00:00.000Z,Finished,Memphis,CHA,MEM,119.0,94.0
2024-10-11T00:00:00.000Z,Finished,Milwaukee,LAL,MIL,107.0,102.0
2024-10-11T23:00:00.000Z,Canceled,Orlando,NOP,ORL,0.0,0.0
2024-10-11T23:00:00.000Z,Finished,Washington,TOR,WAS,95.0,113.0
2024-10-11T23:00:00.000Z,Finished,Des Moines,PHI,MIN,111.0,121.0
2024-10-12T02:00:00.000Z,Finished,San Francisco,SAC,GSW,106.0,109.0
2024-10-12T02:00:00.000Z,Finished,Phoenix,DET,PHX,109.0,91.0
2024-10-12T02:30:00.000Z,Finished,Seattle,POR,LAC,99.0,101.0
2024-10-13T00:00:00.000Z,Finished,Boston,PHI,BOS,89.0,139.0
2024-10-13T00:00:00.000Z,Finished,Chicago,MEM,CHI,124.0,121.0
2024-10-13T00:00:00.000Z,Finished,San Antonio,UTA,SAS,120.0,126.0
