0,1,average_visitors,std_visitors,min_visitors,max_visitors,average_home,std_home,min_home,max_home,point_spread
NYK,WAS,136.0,0.0,136.0,136.0,132.0,0.0,132.0,132.0,-4.0
MIL,CHI,111.0,0.0,111.0,111.0,116.0,0.0,116.0,116.0,5.0
PHX,GSW,105.0,0.0,105.0,105.0,109.0,0.0,109.0,109.0,4.0
DET,DEN,121.0,0.0,121.0,121.0,134.0,0.0,134.0,134.0,13.0
PHI,UTA,114.0,0.0,114.0,114.0,111.0,0.0,111.0,111.0,-3.0
DAL,POR,122.0,0.0,122.0,122.0,126.0,0.0,126.0,126.0,4.0
SAC,LAL,122.0,0.0,122.0,122.0,132.0,0.0,132.0,132.0,10.0
BKN,ORL,101.63,2.003272322975586,99.6267276770244,103.63327232297559,115.38,4.340000000000001,111.03999999999999,119.72,13.75
IND,BOS,105.0,0.0,105.0,105.0,142.0,0.0,142.0,142.0,37.0
ATL,TOR,116.44,6.400499980470276,110.03950001952973,122.84049998047027,109.98,0.19899748742132398,109.78100251257868,110.17899748742133,-6.459999999999994
