,game_date,status,away_name,home_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,venue_id
0,2024-03-20,Final,Los Angeles Dodgers,San Diego Padres,Yu Darvish,Tyler Glasnow,5,2,5150
1,2024-03-20,Final,Detroit Tigers,Minnesota Twins,Louie Varland,Casey Mize,12,3,2862
2,2024-03-20,Final,Toronto Blue Jays,Atlanta Braves,Raisel Iglesias,Bowden Francis,9,10,5380
3,2024-03-20,Final,New York Mets,Miami Marlins,Patrick Monteverde,Christian Scott,6,3,2520
4,2024-03-20,Final,Chicago Cubs,Oakland Athletics,Paul Blackburn,Mark Leiter Jr.,1,3,2507
5,2024-03-20,Final,Texas Rangers,Cincinnati Reds,Rhett Lowder,Dane Dunning,8,1,3834
6,2024-03-20,Final,Cincinnati Reds,Chicago White Sox,Michael Soroka,Lyon Richardson,3,1,3809
7,2024-03-20,Final,Colorado Rockies,Arizona Diamondbacks,Tommy Henry,Peter Lambert,1,5,4249
8,2024-03-20,Final,San Francisco Giants,Los Angeles Angels,Tyler Anderson,Jordan Hicks,5,2,2500
9,2024-03-20,Final,St. Louis Cardinals,Washington Nationals,Zach Davies,Steven Matz,13,4,5000
10,2024-03-20,Final,Philadelphia Phillies,Baltimore Orioles,Dean Kremer,Taijuan Walker,4,13,2508
11,2024-03-20,Final,Pittsburgh Pirates,New York Yankees,Luke Weaver,Marco Gonzales,0,12,2523
12,2024-03-20,Final,Los Angeles Angels,Kansas City Royals,Brady Singer,Andrew Wantz,8,8,2603
13,2024-03-21,Final,San Diego Padres,Los Angeles Dodgers,Yoshinobu Yamamoto,Joe Musgrove,15,11,5150
14,2024-03-21,Final,New York Mets,Detroit Tigers,Matt Manning,Dom Hamel,10,5,2511
15,2024-03-21,Final,Houston Astros,St. Louis Cardinals,Zack Thompson,J.P. France,9,1,2520
16,2024-03-21,Final,Minnesota Twins,Washington Nationals,Trevor Williams,Cole Sands,8,9,5000
17,2024-03-21,Final,Tampa Bay Rays,Philadelphia Phillies,Cristopher Sánchez,Ryan Pepiot,6,5,2700
18,2024-03-21,Final,New York Yankees,Atlanta Braves,Charlie Morton,Nestor Cortes,2,5,5380
19,2024-03-21,Final,Kansas City Royals,Cleveland Guardians,Carlos Carrasco,Alec Marsh,5,8,3834
20,2024-03-21,Final: Tied,Chicago White Sox,Kansas City Royals,Andrew Hoffmann,Garrett Crochet,3,3,2603
21,2024-03-21,Final,Chicago Cubs,Colorado Rockies,Ryan Feltner,Yency Almonte,5,2,4249
22,2024-03-21,Final,Baltimore Orioles,Boston Red Sox,Cooper Criswell,Albert Suárez,2,3,4309
23,2024-03-21,Final,Toronto Blue Jays,Pittsburgh Pirates,Bailey Falter,Ricky Tiedemann,3,2,2526
24,2024-03-21,Final,San Francisco Giants,Milwaukee Brewers,Robert Gasser,Landen Roupp,7,6,2518
25,2024-03-21,Final,Cincinnati Reds,Seattle Mariners,,Nick Martinez,6,7,2530
26,2024-03-22,Final,Detroit Tigers,Philadelphia Phillies,Zack Wheeler,Tarik Skubal,4,3,2700
27,2024-03-22,Final,New York Mets,New York Yankees,Luis Gil,Tyler Stuart,3,5,2523
28,2024-03-22,Final,Boston Red Sox,Toronto Blue Jays,Mitch White,Justin Hagenman,1,5,2536
29,2024-03-22,Final,Cincinnati Reds,Oakland Athletics,Alex Wood,Graham Ashcraft,6,8,2507
30,2024-03-22,Final,San Francisco Giants,Chicago Cubs,Justin Steele,Keaton Winn,7,3,4629
31,2024-03-22,Final,Chicago Cubs,San Francisco Giants,Logan Webb,Javier Assad,12,13,2532
32,2024-03-22,Final,Texas Rangers,Cleveland Guardians,Shane Bieber,Cody Bradford,0,10,3834
33,2024-03-22,Final,Colorado Rockies,Texas Rangers,José Ureña,Kyle Freeland,3,2,2603
34,2024-03-22,Final,Oakland Athletics,Chicago White Sox,Jake Woodford,Joe Boyle,2,8,3809
35,2024-03-22,Final: Tied,Seattle Mariners,Arizona Diamondbacks,Ryne Nelson,Emerson Hancock,3,3,4249
36,2024-03-22,Final,Chicago White Sox,Los Angeles Angels,José Soriano,Jonathan Cannon,0,2,2500
37,2024-03-22,Final,Kansas City Royals,Milwaukee Brewers,Bryse Wilson,Cole Ragans,5,11,2518
38,2024-03-22,Final: Tied,Milwaukee Brewers,Seattle Mariners,Luis Castillo,Freddy Peralta,4,4,2530
39,2024-03-22,Cancelled,Minnesota Twins,Tampa Bay Rays,Garrett Cleavinger,Pablo López,0,0,2534
40,2024-03-22,Cancelled,Atlanta Braves,Minnesota Twins,,,0,0,2862
41,2024-03-22,Cancelled,Washington Nationals,Houston Astros,Framber Valdez,Derek Law,0,0,5000
42,2024-03-22,Cancelled,Pittsburgh Pirates,Baltimore Orioles,Corbin Burnes,Jared Jones,0,0,2508
43,2024-03-22,Cancelled,St. Louis Cardinals,Miami Marlins,,Miles Mikolas,0,0,2520
44,2024-03-23,Final,Boston Red Sox,Pittsburgh Pirates,Jared Jones,Brayan Bello,1,4,2526
45,2024-03-23,Final: Tied,Washington Nationals,St. Louis Cardinals,Miles Mikolas,Jake Irvin,2,2,2520
46,2024-03-23,Final,Baltimore Orioles,Tampa Bay Rays,Zach Eflin,Julio Teheran,6,4,2534
47,2024-03-23,Final,Tampa Bay Rays,Atlanta Braves,Spencer Strider,Aaron Civale,5,2,5380
48,2024-03-23,Final,New York Yankees,Detroit Tigers,Brant Hurter,Cody Poteet,6,11,2511
49,2024-03-23,Final: Tied,Philadelphia Phillies,New York Yankees,Carlos Rodón,Spencer Turnbull,6,6,2523
50,2024-03-23,Final,Detroit Tigers,Toronto Blue Jays,Yusei Kikuchi,Kenta Maeda,10,7,2536
51,2024-03-23,Final,Houston Astros,New York Mets,Jose Quintana,Cristian Javier,13,5,2856
52,2024-03-23,Final,Los Angeles Angels,Oakland Athletics,Ross Stripling,Matt Moore,5,11,2507
53,2024-03-23,Final: Tied,Texas Rangers,Kansas City Royals,Matt Sauer,Nathan Eovaldi,1,1,2603
54,2024-03-23,Final,Colorado Rockies,Cincinnati Reds,Frankie Montas,Cal Quantrill,2,6,3834
55,2024-03-23,Final,Arizona Diamondbacks,San Francisco Giants,Kyle Harrison,Logan Allen,11,5,2532
56,2024-03-23,Final,Seattle Mariners,Chicago White Sox,Nick Nastrini,George Kirby,8,2,3809
57,2024-03-23,Final,Milwaukee Brewers,Chicago Cubs,Ben Brown,Wade Miley,7,4,4629
58,2024-03-23,Final,Cleveland Guardians,Arizona Diamondbacks,Zac Gallen,Tanner Bibee,5,0,4249
59,2024-03-23,Final,Toronto Blue Jays,Baltimore Orioles,Corbin Burnes,Yariel Rodríguez,2,3,2508
60,2024-03-23,Final,Minnesota Twins,Boston Red Sox,Nick Pivetta,Chris Paddack,6,8,4309
61,2024-03-23,Final,Miami Marlins,Washington Nationals,Josiah Gray,Vladimir Gutierrez,5,3,5000
62,2024-03-24,Final,St. Louis Cardinals,Houston Astros,Hunter Brown,Lance Lynn,4,9,5000
63,2024-03-24,Final,Tampa Bay Rays,Detroit Tigers,Jack Flaherty,Zack Littell,2,3,2511
64,2024-03-24,Final,Baltimore Orioles,Minnesota Twins,Joe Ryan,Grayson Rodriguez,8,3,2862
65,2024-03-24,Final,Toronto Blue Jays,Philadelphia Phillies,Aaron Nola,Chris Bassitt,0,2,2700
66,2024-03-24,Final: Tied,Atlanta Braves,Boston Red Sox,Kutter Crawford,Max Fried,5,5,4309
67,2024-03-24,Final,New York Yankees,Pittsburgh Pirates,Martín Pérez,Marcus Stroman,1,0,2526
68,2024-03-24,Final,Washington Nationals,New York Mets,Luis Severino,Patrick Corbin,1,10,2856
