player_name,team.code,min,points,totReb,assists,uPER,normalized_PER,location
Payton Pritchard,BOS,24,21,4,6,0.7374999999999999,0.5198653389998023,visitor
Nikola Jokic,DEN,17,14,8,2,1.6117647058823528,1.1361364138460284,home
Jayson Tatum,BOS,19,12,6,5,0.7789473684210527,0.5490816783013077,visitor
Russell Westbrook,DEN,19,12,4,8,0.8789473684210526,0.619571893758908,home
Michael Porter Jr.,DEN,15,12,2,0,0.46,0.3242549911049615,home
Julian Strawther,DEN,23,11,2,2,0.6434782608695653,0.45358921250977596,home
Derrick White,BOS,19,9,1,0,0.268421052631579,0.18921057833355878,visitor
Jordan Walsh,BOS,25,9,4,4,0.8320000000000001,0.5864785926072347,visitor
Jaylen Brown,BOS,19,8,2,2,0.4105263157894738,0.28938088451014876,visitor
Aaron Gordon,DEN,15,7,3,3,0.7666666666666667,0.5404249851749358,home
Sam Hauser,BOS,17,7,1,3,0.623529411764706,0.4395272257944491,visitor
Hunter Tyson,DEN,18,6,3,1,0.18333333333333338,0.12923206167226728,home
Luke Kornet,BOS,21,6,11,3,1.1142857142857143,0.7854624008132607,visitor
Vlatko Cancar,DEN,21,6,3,1,-0.014285714285714256,-0.010070030779657166,home
Xavier Tillman,BOS,15,6,3,1,0.7533333333333334,0.5310262897805891,visitor
Jamal Murray,DEN,15,3,1,2,0.2800000000000001,0.19737260328128092,home
Trey Alexander,DEN,15,3,4,2,0.6533333333333332,0.46053607432298865,home
Jalen Pickett,DEN,15,3,1,1,0.18000000000000002,0.12688238782368058,home
Josh Minott,MIN,29,22,8,1,1.2172413793103447,0.8580360709149278,visitor
Rob Dillingham,MIN,25,21,1,4,0.6240000000000001,0.43985894445542606,visitor
Luka Garza,MIN,22,20,9,1,1.1909090909090911,0.8394743840859675,visitor
Dalton Knecht,LAL,25,16,3,2,0.428,0.3016981221585293,home
Austin Reaves,LAL,25,16,5,7,1.124,0.7923100217434276,home
D'Angelo Russell,LAL,21,14,0,3,0.6190476190476191,0.43636800045181146,home
Terrence Jr. Shannon,MIN,27,14,4,5,0.7148148148148148,0.5038745030858096,visitor
Max Christie,LAL,34,11,7,2,0.6264705882352941,0.4416004674255549,home
Gabe Vincent,LAL,15,11,0,0,0.5066666666666666,0.35715042498517485,home
Daishen Nix,MIN,15,10,0,0,0.3333333333333333,0.2349673848586677,visitor
Jaxson Hayes,LAL,21,9,6,1,0.7428571428571429,0.5236416005421738,home
Rui Hachimura,LAL,22,9,6,2,0.6363636363636364,0.44857409836654744,home
Jalen HoodSchifino,LAL,27,6,4,6,0.7407407407407407,0.5221497441303726,home
Bronny James,LAL,16,2,1,1,0.33125000000000004,0.23349883870330107,home
Jaylen Clark,MIN,15,0,2,1,0.35333333333333333,0.24906542795018777,visitor
Lindy Waters III,GSW,15,15,3,1,0.9333333333333332,0.6579086776042695,visitor
Ivica Zubac,LAC,18,14,6,1,1.0333333333333334,0.72839889306187,home
James Harden,LAC,17,13,2,8,1.4000000000000001,0.9868630164064045,home
Norman Powell,LAC,15,11,1,1,0.8933333333333333,0.6297125914212295,home
Kobe Brown,LAC,27,11,9,1,0.8037037037037038,0.5665324723814544,home
Kevin Porter Jr.,LAC,16,7,1,1,0.23750000000000004,0.16741426171180077,home
Jonathan Kuminga,GSW,19,7,7,1,0.7105263157894738,0.5008515308829496,visitor
Jordan Miller,LAC,18,6,2,3,0.8055555555555557,0.5678378467417804,home
Buddy Hield,GSW,17,5,2,1,0.0352941176470588,0.024878899573270684,visitor
Kyle Anderson,GSW,15,4,0,1,0.36000000000000004,0.25376477564736116,visitor
Brandin Podziemski,GSW,19,4,5,4,0.6157894736842104,0.4340713267652229,visitor
Trayce JacksonDavis,GSW,18,4,6,2,0.7833333333333334,0.5521733544178692,visitor
Kai Jones,LAC,22,4,6,3,0.7727272727272727,0.5446971194450934,home
Kris Dunn,LAC,18,0,3,0,-0.15555555555555556,-0.10965144626737827,home
Jaylen Brown,BOS,23,21,1,3,0.7217391304347827,0.5087554680852893,home
Nikola Jokic,DEN,19,20,7,3,1.0947368421052635,0.7716823586937299,visitor
Jayson Tatum,BOS,23,17,2,4,0.7391304347826086,0.5210146359909588,home
Julian Strawther,DEN,29,17,2,1,0.4724137931034484,0.3330055006100429,visitor
Sam Hauser,BOS,16,15,8,0,1.35625,0.9560235471437042,home
Payton Pritchard,BOS,16,14,2,5,1.2937500000000002,0.9119671624827042,home
Derrick White,BOS,23,13,5,6,1.0869565217391304,0.7661979941043512,home
Trey Alexander,DEN,20,12,4,5,0.985,0.694328622257363,visitor
Jamal Murray,DEN,19,11,1,0,0.20000000000000004,0.14098043091520066,visitor
Xavier Tillman,BOS,15,10,3,2,0.9266666666666666,0.6532093299070962,home
Hunter Tyson,DEN,30,8,10,2,0.61,0.4299903142913619,visitor
Christian Braun,DEN,26,8,3,3,0.423076923076923,0.298227834628309,visitor
Neemias Queta,BOS,17,7,3,2,0.8588235294117645,0.6053865562829203,home
Jrue Holiday,BOS,17,7,3,1,0.9411764705882352,0.6634373219538853,home
Jalen Pickett,DEN,17,4,1,3,0.19411764705882362,0.1368339476529889,visitor
Zeke Nnaji,DEN,21,2,2,0,-0.009523809523809532,-0.006713353853104797,visitor
Vlatko Cancar,DEN,18,0,3,3,0.12777777777777782,0.09007083086248932,visitor
Miles McBride,NYK,25,22,0,3,0.54,0.3806471634710417,visitor
LaMelo Ball,CHA,19,18,4,7,1.0578947368421054,0.7457122793146139,home
Landry Shamet,NYK,27,16,4,1,0.7111111111111111,0.5012637543651578,visitor
Precious Achiuwa,NYK,33,15,5,2,0.7696969696969697,0.5425610523100145,visitor
Tre Mann,CHA,16,15,3,2,0.6812499999999999,0.4802145928049021,home
Brandon Miller,CHA,21,12,5,3,0.7571428571428571,0.533711631321831,home
Jalen Brunson,NYK,15,12,1,3,0.7333333333333335,0.5169282466890691,visitor
Tidjane Salaun,CHA,22,11,1,0,0.20454545454545459,0.14418453161781886,home
Cameron Payne,NYK,26,11,2,6,0.4346153846153846,0.30636132102726293,visitor
Karl-Anthony Towns,NYK,15,10,4,0,0.94,0.6626080253014429,visitor
Miles Bridges,CHA,22,10,6,2,0.6045454545454546,0.4261453934482201,home
Vasilije Micic,CHA,18,8,3,5,0.7388888888888888,0.5208443697700467,home
Nick Richards,CHA,20,8,9,0,1.0500000000000003,0.7401472623048034,home
Josh Green,CHA,21,5,2,0,0.24761904761904757,0.17454720018072456,home
Jericho Sims,NYK,21,3,10,2,0.8428571428571429,0.594131815999774,visitor
Josh Hart,NYK,15,0,1,1,0.09333333333333332,0.06579086776042695,visitor
